Id;CodeEcole2;Ecole;CodeProvinceEducationnelle;ProvinceEduc;CodeAnnee;Annee;CodeOption;Option;PartTot;PartH;PartF;ReussTot;ReussH;ReussF;TypeEcole
1;41003017;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;20;12;8;12;4;8;PRIVEE AGREE
2;41003027;COMPLEXE SCOLLEGEAIRE WIDAL SCHOOL;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;8;5;3;5;2;3;PRIVEE AGREE
3;41004012;COLLEGEEGE ABBE LIOSSO;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;6;6;0;5;5;0;CATHOLIQUE
4;41004026;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;18;9;9;9;0;9;PROTESTANT
5;41005011;INSAINTITUTITUT DE WANGATA;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;20;16;4;16;12;4;NON-CONVENTIONNEE
6;41009017;EDAP-ISP/MBANOTRE DAMEAKA;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;51;32;19;32;13;19;PRIVEE AGREE
7;40101017;COMPLEXE SCOLLEGEAIRELA BORNE;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;21;12;9;12;3;9;PRIVEE AGREE
8;40101027;COMPLEXE SCOLLEGEAIRELES MAGNANIMES;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;0;0;0;0;0;0;PRIVEE AGREE
9;40101032;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;0;0;0;0;0;0;CATHOLIQUE
10;43101011;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;0;0;0;0;0;0;NON-CONVENTIONNEE
11;41022012;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;0;0;0;0;0;0;CATHOLIQUE
12;41026012;INSAINTITUTITUT ESANGELO;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;7;5;2;3;2;1;CATHOLIQUE
13;41029011;INSAINTITUTITUT BONOTRE DAMEIA;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;2;2;0;2;2;0;NON-CONVENTIONNEE
14;41029021;INSAINTITUTITUT LOBALI;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;3;3;0;3;3;0;NON-CONVENTIONNEE
15;41033017;COMPLEXE SCOLLEGEAIREBEREE;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;22;12;10;12;2;10;PRIVEE AGREE
16;41001015;INSAINTITUTITUT DIANGIENOTRE DAMEA;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;9;8;1;7;6;1;ISLAMIQUE
17;41017011;INSAINTITUTITUT BOYANGI;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;3;2;1;2;1;1;NON-CONVENTIONNEE
18;41017022;INSAINTITUTITUT ILOKWA MPELA;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;2;2;0;0;0;0;CATHOLIQUE
19;40102011;INSAINTITUTITUT DE BOMONGO;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;4;4;0;4;4;0;NON-CONVENTIONNEE
20;41030016;INSAINTITUTITUT MATENOTRE DAMEE;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;10;10;0;10;10;0;PROTESTANT
21;41001016;INSAINTITUTITUT BOYAKA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;17;13;4;4;2;2;PROTESTANT
22;41002011;INSAINTITUTITUT DU 20 MAI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;20;16;4;15;11;4;NON-CONVENTIONNEE
23;41002021;INSAINTITUTITUT KOWANGO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;7;4;3;3;0;3;NON-CONVENTIONNEE
24;41002031;INSAINTITUTITUT LUMUMBA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;10;8;2;6;4;2;NON-CONVENTIONNEE
25;41002046;INSAINTITUTITUT MALELEMBE;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;8;7;1;7;6;1;PROTESTANT
26;41002057;COLLEGEEGE MPUTU;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;18;12;6;12;6;6;PRIVEE AGREE
27;41002061;INSAINTITUTITUT NTAMBELA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;NON-CONVENTIONNEE
28;41003012;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;65;43;22;41;20;21;CATHOLIQUE
29;41003024;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;KIMBANGUISTE
30;41003032;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;CATHOLIQUE
31;41003047;COMPLEXE SCOLLEGEAIREWIDAL SCHOOL;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;27;19;8;19;11;8;PRIVEE AGREE
32;41003057;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
33;41003067;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;37;25;12;25;13;12;PRIVEE AGREE
34;41003076;INSAINTITUTITUT WILLY MISELE;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;5;5;0;4;4;0;PROTESTANT
35;41003087;COMPLEXE SCOLLEGEAIRE LE BON BERGER;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;5;4;1;4;3;1;PRIVEE AGREE
36;41004016;COLLEGEEGE ELEZI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;12;7;5;2;1;1;PROTESTANT
37;41004027;COLLEGEEGE SHALOOM;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;10;6;4;6;2;4;PRIVEE AGREE
38;41004031;INSAINTITUTITUT MAKAMBO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;3;2;1;0;0;0;NON-CONVENTIONNEE
39;41008019;INSAINTITUTITUT BODJIA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;6;5;1;5;4;1;ADVENTISTE
40;41008026;INSAINTITUTITUT LOBIKO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;3;3;0;3;3;0;PROTESTANT
41;41008032;INSAINTITUTITUT CATHOLIQUE WENOTRE DAMEJI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;CATHOLIQUE
42;41009017;INSAINTITUTITUT LA BORNE;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;42;26;16;25;9;16;PRIVEE AGREE
43;41009022;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;9;6;3;0;0;0;CATHOLIQUE
44;41010016;INSAINTITUTITUT BOKOMBODJI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;10;9;1;8;7;1;PROTESTANT
