Id;CodeEcole2;Ecole;CodeProvinceEducationnelle;ProvinceEduc;CodeAnnee;Annee;CodeOption;Option;PartTot;PartH;PartF;ReussTot;ReussH;ReussF
1;41003017;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;20;12;8;12;4;8
2;41003027;COMPLEXE SCOLLEGEAIRE WIDAL SCHOOL;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;8;5;3;5;2;3
3;41004012;COLLEGEEGE ABBE LIOSSO;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;6;6;0;5;5;0
4;41004026;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;18;9;9;9;0;9
5;41005011;INSAINTITUTITUT DE WANGATA;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;20;16;4;16;12;4
6;41009017;EDAP-ISP/MBANOTRE DAMEAKA;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;51;32;19;32;13;19
7;40101017;COMPLEXE SCOLLEGEAIRELA BORNE;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;21;12;9;12;3;9
8;40101027;COMPLEXE SCOLLEGEAIRELES MAGNANIMES;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;0;0;0;0;0;0
9;40101032;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;0;0;0;0;0;0
10;43101011;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;0;0;0;0;0;0
11;41022012;;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;0;0;0;0;0;0
12;41026012;INSAINTITUTITUT ESANGELO;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;7;5;2;3;2;1
13;41029011;INSAINTITUTITUT BONOTRE DAMEIA;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;2;2;0;2;2;0
14;41029021;INSAINTITUTITUT LOBALI;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;3;3;0;3;3;0
15;41033017;COMPLEXE SCOLLEGEAIREBEREE;41;EQUATEUR 1;4;2022;101;LATIN-PHILOSOPHIE;22;12;10;12;2;10
16;41001015;INSAINTITUTITUT DIANGIENOTRE DAMEA;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;9;8;1;7;6;1
17;41017011;INSAINTITUTITUT BOYANGI;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;3;2;1;2;1;1
18;41017022;INSAINTITUTITUT ILOKWA MPELA;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;2;2;0;0;0;0
19;40102011;INSAINTITUTITUT DE BOMONGO;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;4;4;0;4;4;0
20;41030016;INSAINTITUTITUT MATENOTRE DAMEE;41;EQUATEUR 1;4;2022;102;MATHEMATIQUE-PHYSIQUE;10;10;0;10;10;0
21;41001016;INSAINTITUTITUT BOYAKA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;17;13;4;4;2;2
22;41002011;INSAINTITUTITUT DU 20 MAI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;20;16;4;15;11;4
23;41002021;INSAINTITUTITUT KOWANGO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;7;4;3;3;0;3
24;41002031;INSAINTITUTITUT LUMUMBA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;10;8;2;6;4;2
25;41002046;INSAINTITUTITUT MALELEMBE;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;8;7;1;7;6;1
26;41002057;COLLEGEEGE MPUTU;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;18;12;6;12;6;6
27;41002061;INSAINTITUTITUT NTAMBELA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
28;41003012;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;65;43;22;41;20;21
29;41003024;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
30;41003032;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
31;41003047;COMPLEXE SCOLLEGEAIREWIDAL SCHOOL;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;27;19;8;19;11;8
32;41003057;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
33;41003067;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;37;25;12;25;13;12
34;41003076;INSAINTITUTITUT WILLY MISELE;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;5;5;0;4;4;0
35;41003087;COMPLEXE SCOLLEGEAIRE LE BON BERGER;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;5;4;1;4;3;1
36;41004016;COLLEGEEGE ELEZI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;12;7;5;2;1;1
37;41004027;COLLEGEEGE SHALOOM;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;10;6;4;6;2;4
38;41004031;INSAINTITUTITUT MAKAMBO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;3;2;1;0;0;0
39;41008019;INSAINTITUTITUT BODJIA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;6;5;1;5;4;1
40;41008026;INSAINTITUTITUT LOBIKO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;3;3;0;3;3;0
41;41008032;INSAINTITUTITUT CATHOLIQUE WENOTRE DAMEJI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
42;41009017;INSAINTITUTITUT LA BORNE;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;42;26;16;25;9;16
43;41009022;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;9;6;3;0;0;0
44;41010016;INSAINTITUTITUT BOKOMBODJI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;10;9;1;8;7;1
45;41010026;INSAINTITUTITUT BOMBOKO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;18;14;4
46;41010031;INSAINTITUTITUT ETOBOLA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;9;6;3;6;3;3
47;41010043;COMPLEXE SCOLLEGEAIRE FRERE BERNARD;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;19;14;5;12;8;4
48;41010051;INSAINTITUTITUT DU 24 NOVEMBRE;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;15;10;5;9;4;5
49;41011017;COMPLEXE SCOLLEGEAIRELES CHERUBINS;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;17;11;6;11;5;6
50;41011027;COMPLEXE SCOLLEGEAIRELES MAGNANIMES;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;6;6;0;6;6;0
51;41012011;INSAINTITUTITUT DE MBANOTRE DAMEAKA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;73;61;12;57;46;11
52;41012022;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;25;22;3
53;41012030;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
54;41015015;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
55;41015022;INSAINTITUTITUT NKAPI WATO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;9;7;2;7;5;2
56;41015036;INSAINTITUT NKOLO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;7;5;2;5;3;2
57;41015042;INSAINTITUTITUT TOYOKANA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;4;3;1;3;2;1
58;41016012;INSAINTITUTITUT MABONZI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;4;3;1;3;2;1
59;41018016;INSAINTITUTITUT KALAMBA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;7;5;2;5;3;2
60;41021011;COMPLEXE SCOLLEGEAIRE ALICE MAWENZA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;5;4;1;3;2;1
61;41021022;INSAINTITUTITUT BARTHELEMY LOKOKA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;5;4;1;4;3;1
62;41021031;ITP BUBURU;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;12;11;1;11;10;1
63;41021042;ITP LISANGA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;4;3;1;3;2;1
64;41022016;INSAINTITUTITUT BOLONGWA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;22;18;4;17;14;3
65;41022021;INSAINTITUTITUT KALAKI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;15;11;4;11;7;4
66;41022036;INSAINTITUTITUT MUNGETA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;22;17;5;17;12;5
67;41024016;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;17;13;4;13;9;4
68;41024026;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
69;41026013;INSAINTITUTITUT NSANGELA NGOY;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;13;12;1;10;9;1
70;41028011;INSAINTITUTITUT BEMPUMBA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;4;4;0;3;3;0
71;41028021;INSAINTITUTITUT INOTRE DAMEJOLO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;14;8;6;8;2;6
72;41028036;INSAINTITUTITUT BONGOLO NKUNZA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;4;3;1;0;0;0
73;41029016;INSAINTITUTITUT BOSEMBO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;57;44;13;41;28;13
74;41029026;INSAINTITUTITUT LOMATA ETITINGI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;41;34;7;33;26;7
75;41029036;INSAINTITUTITUT MPANGI;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
76;41029046;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0
77;41029052;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;29;16;13
78;41029060;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;2;2;0
79;40103011;;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;21;20;1;0;0;0
80;41103012;INSAINTITUTITUT ILEBO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;4;3;1;3;2;1
81;41103025;INSAINTITUTITUT IKOLE 2;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;17;15;2;15;13;2
82;41103032;INSAINTITUTITUT MONZOTO;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;39;29;10;29;19;10
83;42103016;INSAINTITUTITUT ELONGA;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;8;6;2;5;3;2
84;42103021;INSAINTITUTITUT IKETE EBALE;41;EQUATEUR 1;4;2022;103;CHIMIE-BIOLOGIE;5;5;0;0;0;0
